Packet Number,Device Name Source,Device Type Source,Source Address,Destination Address,Device Name Destination,Device Type Destination,Source Address ZigBee,Device Name ZigBee Source,Device Type ZigBee Source,Destination Address ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Human Command,Human Command Origin,Packet Type,Command String
0,Coordinator,Coordinator,0x0000,0xffff,Broadcast,Broadcast,0x0000,Coordinator,Coordinator,0xfffc,Broadcast,Broadcast,0,,Link Status (0x08),"{'Command Identifier': 'Link Status (0x08)', 'Last Frame': 'True', 'First Frame': 'True', 'Link Status Count': '8', 'Links': [{'Address': '0x0112', 'Incoming Cost': '1', 'Outgoing Cost': '7'}, {'Address': '0x1cd8', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x1e15', 'Incoming Cost': '1', 'Outgoing Cost': '5'}, {'Address': '0x3d95', 'Incoming Cost': '1', 'Outgoing Cost': '3'}, {'Address': '0x4e11', 'Incoming Cost': '1', 'Outgoing Cost': '3'}, {'Address': '0xa706', 'Incoming Cost': '1', 'Outgoing Cost': '5'}, {'Address': '0xe1a6', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0xec7f', 'Incoming Cost': '1', 'Outgoing Cost': '1'}]}"
1,Power Plug 1,Socket,0x3d95,0x0000,Coordinator,Coordinator,0x3d95,Power Plug 1,Socket,0x0000,Coordinator,Coordinator,0,,Report Attributes (0x0a),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '112', 'Command': 'Report Attributes (0x0a)', 'Attribute': ['Application Version (0x0001)', 'Unknown (0xffe2)', 'Unknown (0xffe4)'], 'Data Type': ['8-Bit Unsigned Integer (0x20)', '8-Bit Unsigned Integer (0x20)', '8-Bit Unsigned Integer (0x20)'], 'Uint8': ['77 (0x4d)', '54 (0x36)', '0 (0x00)']}"
2,Coordinator,Coordinator,0x0000,0xec7f,Ledvance Bulb,Bulb,0x0000,Coordinator,Coordinator,0x3d95,Power Plug 1,Socket,0,,Default Response (0x0b),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '112', 'Command': 'Default Response (0x0b)', 'Response to Command': '0x0a', 'Status': 'Success (0x00)'}"
3,Ledvance Bulb,Bulb,0xec7f,0x3d95,Power Plug 1,Socket,0x0000,Coordinator,Coordinator,0x3d95,Power Plug 1,Socket,0,,Default Response (0x0b),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '112', 'Command': 'Default Response (0x0b)', 'Response to Command': '0x0a', 'Status': 'Success (0x00)'}"
4,Ledvance Z3 Plug,Socket,0x4e11,0xffff,Broadcast,Broadcast,0x4e11,Ledvance Z3 Plug,Socket,0xfffc,Broadcast,Broadcast,0,,Link Status (0x08),"{'Command Identifier': 'Link Status (0x08)', 'Last Frame': 'True', 'First Frame': 'True', 'Link Status Count': '8', 'Links': [{'Address': '0x0000', 'Incoming Cost': '3', 'Outgoing Cost': '1'}, {'Address': '0x0112', 'Incoming Cost': '3', 'Outgoing Cost': '7'}, {'Address': '0x1cd8', 'Incoming Cost': '3', 'Outgoing Cost': '1'}, {'Address': '0x1e15', 'Incoming Cost': '3', 'Outgoing Cost': '3'}, {'Address': '0x3d95', 'Incoming Cost': '3', 'Outgoing Cost': '2'}, {'Address': '0xa706', 'Incoming Cost': '5', 'Outgoing Cost': '0'}, {'Address': '0xe1a6', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0xec7f', 'Incoming Cost': '1', 'Outgoing Cost': '1'}]}"
5,Ledvance Bulb,Bulb,0xec7f,0xffff,Broadcast,Broadcast,0xec7f,Ledvance Bulb,Bulb,0xfffc,Broadcast,Broadcast,0,,Link Status (0x08),"{'Command Identifier': 'Link Status (0x08)', 'Last Frame': 'True', 'First Frame': 'True', 'Link Status Count': '8', 'Links': [{'Address': '0x0000', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x0112', 'Incoming Cost': '1', 'Outgoing Cost': '7'}, {'Address': '0x1cd8', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x1e15', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x3d95', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x4e11', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0xa706', 'Incoming Cost': '1', 'Outgoing Cost': '5'}, {'Address': '0xe1a6', 'Incoming Cost': '1', 'Outgoing Cost': '1'}]}"
6,Philips Lamp 1,Bulb,0x1cd8,0xffff,Broadcast,Broadcast,0x1cd8,Philips Lamp 1,Bulb,0xfffc,Broadcast,Broadcast,0,,Link Status (0x08),"{'Command Identifier': 'Link Status (0x08)', 'Last Frame': 'True', 'First Frame': 'True', 'Link Status Count': '8', 'Links': [{'Address': '0x0000', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x0112', 'Incoming Cost': '1', 'Outgoing Cost': '3'}, {'Address': '0x1e15', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x3d95', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x4e11', 'Incoming Cost': '1', 'Outgoing Cost': '3'}, {'Address': '0xa706', 'Incoming Cost': '1', 'Outgoing Cost': '3'}, {'Address': '0xe1a6', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0xec7f', 'Incoming Cost': '1', 'Outgoing Cost': '1'}]}"
7,Philips Motion,Motion,0x059b,0x1cd8,Philips Lamp 1,Bulb,0x059b,Philips Motion,Motion,0x0000,Coordinator,Coordinator,1,device,Report Attributes (0x0a),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '154', 'Command': 'Report Attributes (0x0a)', 'Attribute': 'Measured Value (0x0000)', 'Data Type': '16-Bit Unsigned Integer (0x21)', 'Measured Value': '16312 (=41.775983 [lx])'}"
8,Philips Lamp 1,Bulb,0x1cd8,0x0000,Coordinator,Coordinator,0x059b,Philips Motion,Motion,0x0000,Coordinator,Coordinator,0,,Route Record (0x05),"{'Layer ZBEE_NWK': '', 'Destination': ['0x0000', 'e0:79:8d:ff:fe:71:86:77 (e0:79:8d:ff:fe:71:86:77)'], 'Source': '0x059b', 'Radius': '30', 'Sequence Number': '102', 'Extended Source': ['00:17:88:01:08:68:18:1e (00:17:88:01:08:68:18:1e)', '00:17:88:01:06:e3:0a:cb (00:17:88:01:06:e3:0a:cb)'], 'Security Control Field': '0x28, Key Id: Network Key, Extended Nonce', 'Frame Counter': '3892037', 'Key Sequence Number': '0', 'Message Integrity Code': '94ca18bc', 'Key': '60ca4507229ff82271c615339e526146', 'Key Label': '', 'Command Identifier': 'Route Record (0x05)', 'Relay Count': '1', 'Relay Device 1': '0x1cd8', 'Command Frame': 'Route Record'}"
9,Philips Lamp 1,Bulb,0x1cd8,0x0000,Coordinator,Coordinator,0x059b,Philips Motion,Motion,0x0000,Coordinator,Coordinator,1,device,Report Attributes (0x0a),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '154', 'Command': 'Report Attributes (0x0a)', 'Attribute': 'Measured Value (0x0000)', 'Data Type': '16-Bit Unsigned Integer (0x21)', 'Measured Value': '16312 (=41.775983 [lx])'}"
10,Philips Lamp 1,Bulb,0x1cd8,0x0000,Coordinator,Coordinator,0x059b,Philips Motion,Motion,0x0000,Coordinator,Coordinator,1,device,Report Attributes (0x0a),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '154', 'Command': 'Report Attributes (0x0a)', 'Attribute': 'Measured Value (0x0000)', 'Data Type': '16-Bit Unsigned Integer (0x21)', 'Measured Value': '16312 (=41.775983 [lx])'}"
11,Coordinator,Coordinator,0x0000,0x1cd8,Philips Lamp 1,Bulb,0x0000,Coordinator,Coordinator,0x059b,Philips Motion,Motion,0,,Default Response (0x0b),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '154', 'Command': 'Default Response (0x0b)', 'Response to Command': '0x0a', 'Status': 'Success (0x00)'}"
12,Smart Socket,Socket,0xe1a6,0xffff,Broadcast,Broadcast,0xe1a6,Smart Socket,Socket,0xfffc,Broadcast,Broadcast,0,,Link Status (0x08),"{'Command Identifier': 'Link Status (0x08)', 'Last Frame': 'True', 'First Frame': 'True', 'Link Status Count': '8', 'Links': [{'Address': '0x0000', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x0112', 'Incoming Cost': '5', 'Outgoing Cost': '7'}, {'Address': '0x1cd8', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x1e15', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x3d95', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x4e11', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0xa706', 'Incoming Cost': '5', 'Outgoing Cost': '5'}, {'Address': '0xec7f', 'Incoming Cost': '1', 'Outgoing Cost': '1'}]}"
13,Philips Lamp 1,Bulb,0x1cd8,0x059b,Philips Motion,Motion,0x0000,Coordinator,Coordinator,0x059b,Philips Motion,Motion,0,,Default Response (0x0b),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '154', 'Command': 'Default Response (0x0b)', 'Response to Command': '0x0a', 'Status': 'Success (0x00)'}"
14,Philips Lamp 1,Bulb,0x1cd8,0x0000,Coordinator,Coordinator,0x059b,Philips Motion,Motion,0x0000,Coordinator,Coordinator,0,,Route Record (0x05),"{'Layer ZBEE_NWK': '', 'Destination': ['0x0000', 'e0:79:8d:ff:fe:71:86:77 (e0:79:8d:ff:fe:71:86:77)'], 'Source': '0x059b', 'Radius': '30', 'Sequence Number': '103', 'Extended Source': ['00:17:88:01:08:68:18:1e (00:17:88:01:08:68:18:1e)', '00:17:88:01:06:e3:0a:cb (00:17:88:01:06:e3:0a:cb)'], 'Security Control Field': '0x28, Key Id: Network Key, Extended Nonce', 'Frame Counter': '3892040', 'Key Sequence Number': '0', 'Message Integrity Code': '0a08e4f6', 'Key': '60ca4507229ff82271c615339e526146', 'Key Label': '', 'Command Identifier': 'Route Record (0x05)', 'Relay Count': '1', 'Relay Device 1': '0x1cd8', 'Command Frame': 'Route Record'}"
15,Moes Bulb,Bulb,0x1e15,0xffff,Broadcast,Broadcast,0x1e15,Moes Bulb,Bulb,0xfffc,Broadcast,Broadcast,0,,Link Status (0x08),"{'Command Identifier': 'Link Status (0x08)', 'Last Frame': 'True', 'First Frame': 'True', 'Link Status Count': '7', 'Links': [{'Address': '0x0000', 'Incoming Cost': '3', 'Outgoing Cost': '1'}, {'Address': '0x1cd8', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x3d95', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x4e11', 'Incoming Cost': '2', 'Outgoing Cost': '3'}, {'Address': '0xa706', 'Incoming Cost': '7', 'Outgoing Cost': '7'}, {'Address': '0xe1a6', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0xec7f', 'Incoming Cost': '1', 'Outgoing Cost': '1'}]}"
16,Power Plug 2,Socket,0xa706,0xffff,Broadcast,Broadcast,0xa706,Power Plug 2,Socket,0xfffc,Broadcast,Broadcast,0,,Link Status (0x08),"{'Command Identifier': 'Link Status (0x08)', 'Last Frame': 'True', 'First Frame': 'True', 'Link Status Count': '7', 'Links': [{'Address': '0x0000', 'Incoming Cost': '5', 'Outgoing Cost': '1'}, {'Address': '0x0112', 'Incoming Cost': '2', 'Outgoing Cost': '3'}, {'Address': '0x1cd8', 'Incoming Cost': '3', 'Outgoing Cost': '1'}, {'Address': '0x1e15', 'Incoming Cost': '7', 'Outgoing Cost': '7'}, {'Address': '0x3d95', 'Incoming Cost': '7', 'Outgoing Cost': '7'}, {'Address': '0xe1a6', 'Incoming Cost': '5', 'Outgoing Cost': '5'}, {'Address': '0xec7f', 'Incoming Cost': '5', 'Outgoing Cost': '1'}]}"
17,Power Plug 1,Socket,0x3d95,0xffff,Broadcast,Broadcast,0x3d95,Power Plug 1,Socket,0xfffc,Broadcast,Broadcast,0,,Link Status (0x08),"{'Command Identifier': 'Link Status (0x08)', 'Last Frame': 'True', 'First Frame': 'True', 'Link Status Count': '8', 'Links': [{'Address': '0x0000', 'Incoming Cost': '3', 'Outgoing Cost': '1'}, {'Address': '0x0112', 'Incoming Cost': '7', 'Outgoing Cost': '7'}, {'Address': '0x1cd8', 'Incoming Cost': '2', 'Outgoing Cost': '1'}, {'Address': '0x1e15', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x4e11', 'Incoming Cost': '2', 'Outgoing Cost': '3'}, {'Address': '0xa706', 'Incoming Cost': '7', 'Outgoing Cost': '7'}, {'Address': '0xe1a6', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0xec7f', 'Incoming Cost': '1', 'Outgoing Cost': '1'}]}"
18,Aqara Motion,Motion,0x27d7,0x0000,Coordinator,Coordinator,0x27d7,Aqara Motion,Motion,0x0000,Coordinator,Coordinator,1,device,Report Attributes (0x0a),"{'Layer ZBEE_ZCL': '', 'Manufacturer Code': 'Lumi United Techology, Ltd Shenzhen (0x115f)', 'Sequence Number': '1', 'Command': 'Report Attributes (0x0a)', 'Attribute': '0x0112', 'Data Type': '32-Bit Unsigned Integer (0x23)', 'Uint32': '65559 (0x00010017)'}"
19,Coordinator,Coordinator,0x0000,0xe1a6,Smart Socket,Socket,0x0000,Coordinator,Coordinator,0xe1a6,Smart Socket,Socket,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '95', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)']}"
20,Smart Socket,Socket,0xe1a6,0x0000,Coordinator,Coordinator,0xe1a6,Smart Socket,Socket,0x0000,Coordinator,Coordinator,0,,Read Attributes Response (0x01),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '95', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)'], 'Status': ['Success (0x00)', 'Success (0x00)'], 'Data Type': ['48-Bit Unsigned Integer (0x25)', '8-Bit Bitmap (0x18)'], 'Uint48': '231 (0x00000000000000e7)', 'Bitmap8': '0x00'}"
21,Coordinator,Coordinator,0x0000,0xec7f,Ledvance Bulb,Bulb,0x0000,Coordinator,Coordinator,0x3d95,Power Plug 1,Socket,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '97', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)']}"
22,Ledvance Bulb,Bulb,0xec7f,0x3d95,Power Plug 1,Socket,0x0000,Coordinator,Coordinator,0x3d95,Power Plug 1,Socket,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '97', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)']}"
23,Power Plug 1,Socket,0x3d95,0x0000,Coordinator,Coordinator,0x3d95,Power Plug 1,Socket,0x0000,Coordinator,Coordinator,0,,Read Attributes Response (0x01),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '97', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)'], 'Status': ['Success (0x00)', 'Success (0x00)'], 'Data Type': ['48-Bit Unsigned Integer (0x25)', '8-Bit Bitmap (0x18)'], 'Uint48': '100 (0x0000000000000064)', 'Bitmap8': '0x00'}"
24,Coordinator,Coordinator,0x0000,0xe1a6,Smart Socket,Socket,0x0000,Coordinator,Coordinator,0xe1a6,Smart Socket,Socket,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '99', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)']}"
25,Smart Socket,Socket,0xe1a6,0x0000,Coordinator,Coordinator,0xe1a6,Smart Socket,Socket,0x0000,Coordinator,Coordinator,0,,Read Attributes Response (0x01),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '99', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)'], 'Status': ['Success (0x00)', 'Success (0x00)', 'Success (0x00)'], 'Data Type': ['16-Bit Signed Integer (0x29)', '16-Bit Unsigned Integer (0x21)', '16-Bit Unsigned Integer (0x21)'], 'Int16': '0', 'Uint16': ['0 (0x0000)', '223 (0x00df)']}"
26,Smart Socket,Socket,0xe1a6,0x0000,Coordinator,Coordinator,0xe1a6,Smart Socket,Socket,0x0000,Coordinator,Coordinator,0,,Read Attributes Response (0x01),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '99', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)'], 'Status': ['Success (0x00)', 'Success (0x00)', 'Success (0x00)'], 'Data Type': ['16-Bit Signed Integer (0x29)', '16-Bit Unsigned Integer (0x21)', '16-Bit Unsigned Integer (0x21)'], 'Int16': '0', 'Uint16': ['0 (0x0000)', '223 (0x00df)']}"
27,Coordinator,Coordinator,0x0000,0xec7f,Ledvance Bulb,Bulb,0x0000,Coordinator,Coordinator,0x3d95,Power Plug 1,Socket,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '101', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)']}"
28,Ledvance Bulb,Bulb,0xec7f,0x3d95,Power Plug 1,Socket,0x0000,Coordinator,Coordinator,0x3d95,Power Plug 1,Socket,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '101', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)']}"
29,Power Plug 1,Socket,0x3d95,0x0000,Coordinator,Coordinator,0x3d95,Power Plug 1,Socket,0x0000,Coordinator,Coordinator,0,,Read Attributes Response (0x01),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '101', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)'], 'Status': ['Success (0x00)', 'Success (0x00)', 'Success (0x00)'], 'Data Type': ['16-Bit Signed Integer (0x29)', '16-Bit Unsigned Integer (0x21)', '16-Bit Unsigned Integer (0x21)'], 'Int16': '0', 'Uint16': ['0 (0x0000)', '220 (0x00dc)']}"
30,Coordinator,Coordinator,0x0000,0x1cd8,Philips Lamp 1,Bulb,0x0000,Coordinator,Coordinator,0xa706,Power Plug 2,Socket,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '103', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)']}"
31,Philips Lamp 1,Bulb,0x1cd8,0xa706,Power Plug 2,Socket,0x0000,Coordinator,Coordinator,0xa706,Power Plug 2,Socket,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '103', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)']}"
32,Coordinator,Coordinator,0x0000,0x1cd8,Philips Lamp 1,Bulb,0x0000,Coordinator,Coordinator,0xa706,Power Plug 2,Socket,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '105', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)']}"
33,Philips Lamp 1,Bulb,0x1cd8,0xa706,Power Plug 2,Socket,0x0000,Coordinator,Coordinator,0xa706,Power Plug 2,Socket,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '105', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)']}"
34,Power Plug 2,Socket,0xa706,0x0000,Coordinator,Coordinator,0xa706,Power Plug 2,Socket,0x0000,Coordinator,Coordinator,0,,Read Attributes Response (0x01),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '105', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)'], 'Status': ['Success (0x00)', 'Success (0x00)'], 'Data Type': ['48-Bit Unsigned Integer (0x25)', '8-Bit Bitmap (0x18)'], 'Uint48': '24 (0x0000000000000018)', 'Bitmap8': '0x00'}"
35,Coordinator,Coordinator,0x0000,0xffff,Broadcast,Broadcast,0x0000,Coordinator,Coordinator,0xfffc,Broadcast,Broadcast,0,,Link Status (0x08),"{'Command Identifier': 'Link Status (0x08)', 'Last Frame': 'True', 'First Frame': 'True', 'Link Status Count': '8', 'Links': [{'Address': '0x0112', 'Incoming Cost': '1', 'Outgoing Cost': '7'}, {'Address': '0x1cd8', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x1e15', 'Incoming Cost': '1', 'Outgoing Cost': '3'}, {'Address': '0x3d95', 'Incoming Cost': '1', 'Outgoing Cost': '3'}, {'Address': '0x4e11', 'Incoming Cost': '1', 'Outgoing Cost': '3'}, {'Address': '0xa706', 'Incoming Cost': '1', 'Outgoing Cost': '5'}, {'Address': '0xe1a6', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0xec7f', 'Incoming Cost': '1', 'Outgoing Cost': '1'}]}"
36,Power Plug 2,Socket,0xa706,0x0000,Coordinator,Coordinator,0xa706,Power Plug 2,Socket,0x0000,Coordinator,Coordinator,0,,Report Attributes (0x0a),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '216', 'Command': 'Report Attributes (0x0a)', 'Attribute': ['Application Version (0x0001)', 'Unknown (0xffe2)', 'Unknown (0xffe4)'], 'Data Type': ['8-Bit Unsigned Integer (0x20)', '8-Bit Unsigned Integer (0x20)', '8-Bit Unsigned Integer (0x20)'], 'Uint8': ['77 (0x4d)', '54 (0x36)', '0 (0x00)']}"
37,Coordinator,Coordinator,0x0000,0x1cd8,Philips Lamp 1,Bulb,0x0000,Coordinator,Coordinator,0xa706,Power Plug 2,Socket,0,,Default Response (0x0b),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '216', 'Command': 'Default Response (0x0b)', 'Response to Command': '0x0a', 'Status': 'Success (0x00)'}"
38,Philips Lamp 1,Bulb,0x1cd8,0xa706,Power Plug 2,Socket,0x0000,Coordinator,Coordinator,0xa706,Power Plug 2,Socket,0,,Default Response (0x0b),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '216', 'Command': 'Default Response (0x0b)', 'Response to Command': '0x0a', 'Status': 'Success (0x00)'}"
39,Philips Lamp 1,Bulb,0x1cd8,0xa706,Power Plug 2,Socket,0x0000,Coordinator,Coordinator,0xa706,Power Plug 2,Socket,0,,Default Response (0x0b),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '216', 'Command': 'Default Response (0x0b)', 'Response to Command': '0x0a', 'Status': 'Success (0x00)'}"
40,Philips Lamp 1,Bulb,0x1cd8,0xa706,Power Plug 2,Socket,0x0000,Coordinator,Coordinator,0xa706,Power Plug 2,Socket,0,,Default Response (0x0b),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '216', 'Command': 'Default Response (0x0b)', 'Response to Command': '0x0a', 'Status': 'Success (0x00)'}"
41,Ledvance Z3 Plug,Socket,0x4e11,0xffff,Broadcast,Broadcast,0x4e11,Ledvance Z3 Plug,Socket,0xfffc,Broadcast,Broadcast,0,,Link Status (0x08),"{'Command Identifier': 'Link Status (0x08)', 'Last Frame': 'True', 'First Frame': 'True', 'Link Status Count': '8', 'Links': [{'Address': '0x0000', 'Incoming Cost': '3', 'Outgoing Cost': '1'}, {'Address': '0x0112', 'Incoming Cost': '3', 'Outgoing Cost': '7'}, {'Address': '0x1cd8', 'Incoming Cost': '3', 'Outgoing Cost': '1'}, {'Address': '0x1e15', 'Incoming Cost': '3', 'Outgoing Cost': '2'}, {'Address': '0x3d95', 'Incoming Cost': '3', 'Outgoing Cost': '2'}, {'Address': '0xa706', 'Incoming Cost': '5', 'Outgoing Cost': '0'}, {'Address': '0xe1a6', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0xec7f', 'Incoming Cost': '1', 'Outgoing Cost': '1'}]}"
42,Coordinator,Coordinator,0x0000,0xec7f,Ledvance Bulb,Bulb,0x0000,Coordinator,Coordinator,0x711c,Philips Lamp 3,Bulb,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '110', 'Command': 'Read Attributes (0x00)', 'Attribute': 'OnOff (0x0000)'}"
43,Ledvance Bulb,Bulb,0xec7f,0x711c,Philips Lamp 3,Bulb,0x0000,Coordinator,Coordinator,0x711c,Philips Lamp 3,Bulb,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '110', 'Command': 'Read Attributes (0x00)', 'Attribute': 'OnOff (0x0000)'}"
44,Ledvance Bulb,Bulb,0xec7f,0x711c,Philips Lamp 3,Bulb,0x0000,Coordinator,Coordinator,0x711c,Philips Lamp 3,Bulb,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '110', 'Command': 'Read Attributes (0x00)', 'Attribute': 'OnOff (0x0000)'}"
45,Ledvance Bulb,Bulb,0xec7f,0x711c,Philips Lamp 3,Bulb,0x0000,Coordinator,Coordinator,0x711c,Philips Lamp 3,Bulb,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '110', 'Command': 'Read Attributes (0x00)', 'Attribute': 'OnOff (0x0000)'}"
46,Ledvance Bulb,Bulb,0xec7f,0x711c,Philips Lamp 3,Bulb,0x0000,Coordinator,Coordinator,0x711c,Philips Lamp 3,Bulb,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '110', 'Command': 'Read Attributes (0x00)', 'Attribute': 'OnOff (0x0000)'}"
47,Ledvance Bulb,Bulb,0xec7f,0x711c,Philips Lamp 3,Bulb,0x0000,Coordinator,Coordinator,0x711c,Philips Lamp 3,Bulb,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '110', 'Command': 'Read Attributes (0x00)', 'Attribute': 'OnOff (0x0000)'}"
48,Ledvance Bulb,Bulb,0xec7f,0x711c,Philips Lamp 3,Bulb,0x0000,Coordinator,Coordinator,0x711c,Philips Lamp 3,Bulb,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '110', 'Command': 'Read Attributes (0x00)', 'Attribute': 'OnOff (0x0000)'}"
49,Ledvance Bulb,Bulb,0xec7f,0x711c,Philips Lamp 3,Bulb,0x0000,Coordinator,Coordinator,0x711c,Philips Lamp 3,Bulb,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '110', 'Command': 'Read Attributes (0x00)', 'Attribute': 'OnOff (0x0000)'}"
50,Ledvance Bulb,Bulb,0xec7f,0x711c,Philips Lamp 3,Bulb,0x0000,Coordinator,Coordinator,0x711c,Philips Lamp 3,Bulb,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '110', 'Command': 'Read Attributes (0x00)', 'Attribute': 'OnOff (0x0000)'}"
51,Ledvance Bulb,Bulb,0xec7f,0x711c,Philips Lamp 3,Bulb,0x0000,Coordinator,Coordinator,0x711c,Philips Lamp 3,Bulb,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '110', 'Command': 'Read Attributes (0x00)', 'Attribute': 'OnOff (0x0000)'}"
